itemId,baseRespawnTicks,wikiPage
3110,10,Stone ball#Blue
3111,10,Stone ball#Yellow
3112,10,Stone ball#Purple
3113,10,Stone ball#Green
3138,100,Potato cactus
3187,100,Bones (Ape Atoll)
3216,30,Barrel
3803,100,Beer tankard
3805,100,Tankard
4034,100,Monkey skull
4084,30,Sled#Waxed
4164,100,Facemask
4199,100,Pickled brain
4492,10,Muddy rock
4494,10,Pole
4496,30,Broken pole
4529,100,Candle lantern#Unlit_(white_candle)
4548,100,Bullseye lantern#Unlit
4615,10,Letter (The Golem)
4619,10,Strange implement
4686,10,Embalming manual
4707,100,Crumbling tome
4819,100,Bronze nails
4820,100,Iron nails
5062,10,Left boot
5063,10,Right boot
5341,100,Rake
5418,100,Empty sack
5462,100,Cabbages#2
5504,100,Strawberry
5523,100,Tiara mould
5559,10,Flash powder
5568,10,Tiles (Rogues' Den)#Correct
5569,10,Tiles (Rogues' Den)#Flipped Vertically
5570,10,Tiles (Rogues' Den)#Rotated
5571,10,Tiles (Rogues' Den)#Flipped Horizontally
5586,10,Metal spade#Spade
5610,100,Hourglass (Recruitment Drive)
5763,100,Cider
5986,100,Sweetcorn
5988,100,Cooked sweetcorn
6332,100,Mahogany logs
6662,100,Broken fishing rod
6663,100,Forlorn boot
6697,100,Pat of butter
6790,1,Shoes
6792,5,Ancestral key
6903,800,Dragonstone (Mage Training Arena)
6962,100,Triangle sandwich
7051,100,Bug lantern#Unlit
7074,100,Chopped garlic
7080,100,Sliced mushrooms
7088,100,Sweetcorn (bowl)
7225,100,Iron spit
7954,100,Burnt shrimp
7967,0,Engine
7972,0,Lift manual
8780,100,Teak plank
8794,100,Saw
9652,10,Haemalchemy volume 1
10006,100,Bird snare
10008,100,Box trap
10029,500,Teasing stick
10150,100,Noose wand
10179,100,Feathered journal
10562,10,Queen help book
10810,100,Arctic pine logs
10885,20,Keg (dummy item)
11065,200,Bracelet mould
11656,100,Glassblowing book
11680,0,Address form
11940,100,Dark fishing bait
20798,100,Smelly journal
22251,100,Oak shield
22416,100,The turncloak
22418,100,Explosive discovery
22420,100,Bloody grimoire
22426,100,Deed
22428,100,Old key
22430,100,Bloody bracer
24774,100,Blood pint
24788,100,Pat of not garlic butter
25829,100,Old note (Secluded Chapel)
26963,100,Odd spectacles
26965,100,Bottle of 'tonic'
29277,100,Trapper's tipple
29409,100,Sunbeam ale
29412,100,Steamforge brew
29415,75,Eclipse red
29963,100,Chichilihui rosé
31393,50,Tortugan scute
31395,50,Sea shell
